City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Saint George,US,2022-01-29 00:02:51,37.1041,-113.5841,59.47,16,0,3.44
226,Akureyri,IS,2022-01-29 00:05:35,65.6835,-18.0878,12.13,92,38,6.2
227,Port Macquarie,AU,2022-01-29 00:05:35,-31.4333,152.9167,77.9,71,37,9.26
228,Deder,ET,2022-01-29 00:05:35,9.3167,41.45,51.42,57,81,5.35
229,Mumford,GH,2022-01-29 00:05:36,5.2618,-0.759,78.85,84,67,4.85
230,Barentu,ER,2022-01-29 00:05:36,15.1139,37.5928,60.89,66,3,2.48
231,Ancud,CL,2022-01-29 00:05:36,-41.8697,-73.8203,69.33,75,0,8.28
232,Serenje,ZM,2022-01-29 00:05:37,-13.2325,30.2352,62.6,97,100,3.0
233,Iacu,BR,2022-01-29 00:05:37,-12.7672,-40.2117,73.45,86,70,4.81
234,Aykhal,RU,2022-01-29 00:03:42,66.0,111.5,-17.46,100,69,4.97
235,Buta,CD,2022-01-29 00:05:38,2.7858,24.73,67.8,46,74,1.07
236,Sal Rei,CV,2022-01-29 00:05:38,16.1833,-22.9167,69.8,70,100,16.8
237,Yovon,TJ,2022-01-29 00:05:39,38.3141,69.0378,40.68,95,100,0.47
238,Rundu,NA,2022-01-29 00:05:39,-17.9333,19.7667,67.33,96,100,6.69
239,Anloga,GH,2022-01-29 00:05:39,5.7947,0.8973,80.08,79,30,6.71
240,Porto Novo,BJ,2022-01-29 00:05:40,6.4965,2.6036,75.58,82,59,0.74
241,Camacha,PT,2022-01-29 00:05:40,33.0833,-16.3333,57.96,82,40,13.8
242,Livingston,GB,2022-01-29 00:05:12,55.9029,-3.5226,51.26,88,100,23.02
243,Kirksville,US,2022-01-29 00:05:41,40.1948,-92.5833,18.05,50,0,1.01
244,Mayo,US,2022-01-29 00:05:41,38.8876,-76.5119,34.52,92,100,1.01
245,Goshogawara,JP,2022-01-29 00:05:41,40.8044,140.4414,31.1,47,98,15.01
246,East London,ZA,2022-01-29 00:05:42,-33.0153,27.9116,67.95,77,47,11.5
247,Totness,SR,2022-01-29 00:05:42,5.8833,-56.3167,75.49,82,61,9.44
248,Gladstone,AU,2022-01-29 00:05:42,-23.85,151.25,82.33,57,13,13.8
249,Kamenka,RU,2022-01-29 00:05:43,51.3223,42.7678,18.75,95,100,11.88
250,Fayaoue,NC,2022-01-29 00:05:43,-20.65,166.5333,80.29,83,100,20.18
251,Talnakh,RU,2022-01-29 00:05:44,69.4865,88.3972,-0.8,94,100,11.95
252,Kashi,CN,2022-01-29 00:05:44,39.4547,75.9797,30.25,48,99,1.48
253,Okhotsk,RU,2022-01-29 00:05:44,59.3833,143.3,10.11,78,100,16.87
254,Velizh,RU,2022-01-29 00:05:45,55.6056,31.1967,31.78,98,100,8.66
255,Tuatapere,NZ,2022-01-29 00:03:41,-46.1333,167.6833,70.75,40,95,3.65
256,Ostrovnoy,RU,2022-01-29 00:05:45,68.0531,39.5131,11.41,94,90,9.06
257,Rayong,TH,2022-01-29 00:05:46,12.8333,101.4333,83.79,86,13,1.05
258,Sisimiut,GL,2022-01-29 00:05:46,66.9395,-53.6735,18.9,94,100,15.17
259,Ahipara,NZ,2022-01-29 00:05:46,-35.1667,173.1667,74.7,51,100,10.36
260,Tuy Hoa,VN,2022-01-29 00:05:47,13.0833,109.3,70.75,89,42,3.98
261,Wattegama,LK,2022-01-29 00:05:47,6.7989,81.4808,70.29,94,6,3.11
262,Lagoa,PT,2022-01-29 00:05:47,39.05,-27.9833,57.87,59,62,11.48
263,Victoria,HK,2022-01-29 00:01:22,22.2855,114.1577,65.32,91,83,5.01
264,Machiques,VE,2022-01-29 00:05:48,10.0644,-72.545,82.38,50,46,8.01
265,Zhanaozen,KZ,2022-01-29 00:05:48,43.3,52.8,27.27,80,95,8.03
266,Acarau,BR,2022-01-29 00:05:49,-2.8856,-40.12,74.12,81,100,7.92
267,Dezhou,CN,2022-01-29 00:05:49,37.4486,116.2925,29.44,47,40,2.06
268,Palmer,US,2022-01-29 00:05:49,42.1584,-72.3287,30.07,70,75,3.44
269,Mehamn,NO,2022-01-29 00:06:50,71.0357,27.8492,22.91,63,100,3.8
270,Kedrovyy,RU,2022-01-29 00:06:50,56.1667,91.8167,-14.39,100,98,3.62
271,Mahebourg,MU,2022-01-29 00:06:50,-20.4081,57.7,77.25,81,18,7.67
272,Ribeira Grande,PT,2022-01-29 00:06:51,38.5167,-28.7,58.69,61,78,6.91
273,Amga,RU,2022-01-29 00:06:51,60.8953,131.9608,-28.48,100,100,2.35
274,Punta Alta,AR,2022-01-29 00:06:51,-38.8759,-62.0736,79.05,41,0,10.63
275,Metro,ID,2022-01-29 00:06:52,-5.1131,105.3067,74.62,90,100,3.24
276,Klaksvik,FO,2022-01-29 00:06:12,62.2266,-6.589,41.92,93,94,16.73
277,Namibe,AO,2022-01-29 00:06:52,-15.1961,12.1522,72.07,82,100,6.55
278,Hilo,US,2022-01-29 00:04:38,19.7297,-155.09,82.13,65,40,13.8
279,Richards Bay,ZA,2022-01-29 00:06:53,-28.783,32.0377,74.08,83,95,14.25
280,Kyzyl-Suu,KG,2022-01-29 00:06:07,42.3414,78.0056,22.23,75,98,5.01
281,Mazyr,BY,2022-01-29 00:06:53,52.0495,29.2456,30.43,93,100,16.64
282,Whitianga,NZ,2022-01-29 00:06:15,-36.8333,175.7,69.24,61,48,6.62
283,Pochutla,MX,2022-01-29 00:06:54,15.7432,-96.4661,82.22,71,46,5.44
284,Ust-Barguzin,RU,2022-01-29 00:06:54,53.45,108.9833,-16.56,99,49,3.65
285,Maumere,ID,2022-01-29 00:06:55,-8.6199,122.2111,80.96,80,99,1.54
286,Ponta Do Sol,PT,2022-01-29 00:06:55,32.6667,-17.1,61.72,67,78,6.11
287,Husavik,IS,2022-01-29 00:03:27,66.0449,-17.3389,23.61,94,95,27.92
288,Tingi,TZ,2022-01-29 00:06:56,-11.3,35.0333,63.84,95,100,1.43
289,Kodinsk,RU,2022-01-29 00:06:56,58.6881,99.1844,-10.53,100,100,2.89
290,Ust-Nera,RU,2022-01-29 00:06:56,64.5667,143.2,-10.71,98,100,0.92
291,Izazi,TZ,2022-01-29 00:06:57,-7.2,35.7333,68.83,96,100,1.05
292,Hoquiam,US,2022-01-29 00:02:19,46.9809,-123.8893,52.66,77,0,4.61
